state,sample,Ri_ohm,Ro_ohm,Au_dB,DC_Ui_V,DC_Us_V,DC_U0_V,DC_Uinf_V,DC_Au_out_V,DC_Au_in_V
normal,1,2765.859,-0.078,41.428,2.093,1.333,2.762,2.758,2.757,1.680
normal,2,2726.214,1913.368,41.439,1.671,1.582,1.423,2.758,2.757,1.679
normal,3,2727.442,1908.022,41.425,1.669,1.585,1.424,2.757,2.757,1.675
normal,4,2731.644,1910.096,41.436,1.666,1.587,1.423,2.757,2.757,1.674
normal,5,2727.317,1908.504,41.430,1.665,1.590,1.423,2.757,2.756,1.672
normal,6,2732.955,1909.163,41.436,1.662,1.592,1.423,2.757,2.756,1.670
normal,7,2730.700,1911.535,41.437,1.661,1.594,1.423,2.757,2.756,1.668
normal,8,2731.435,1914.381,41.429,1.659,1.595,1.422,2.757,2.756,1.666
normal,9,2729.180,1909.880,41.439,1.658,1.597,1.423,2.757,2.756,1.665
normal,10,2731.959,1913.401,41.435,1.655,1.599,1.423,2.756,2.756,1.663
